100 4950
0 1 415
0 2 659
0 3 260
0 4 218
0 5 639
0 6 637
0 7 520
0 8 703
0 9 171
0 10 693
0 11 326
0 12 445
0 13 551
0 14 615
0 15 724
0 16 954
0 17 588
0 18 623
0 19 595
0 20 68
0 21 489
0 22 597
0 23 595
0 24 340
0 25 326
0 26 985
0 27 584
0 28 846
0 29 593
0 30 708
0 31 665
0 32 778
0 33 410
0 34 405
0 35 1013
0 36 374
0 37 371
0 38 514
0 39 435
0 40 250
0 41 875
0 42 309
0 43 602
0 44 549
0 45 802
0 46 425
0 47 677
0 48 618
0 49 899
0 50 937
0 51 514
0 52 720
0 53 668
0 54 947
0 55 336
0 56 207
0 57 889
0 58 702
0 59 131
0 60 529
0 61 524
0 62 705
0 63 1096
0 64 841
0 65 334
0 66 952
0 67 721
0 68 931
0 69 163
0 70 550
0 71 926
0 72 286
0 73 712
0 74 524
0 75 719
0 76 532
0 77 556
0 78 639
0 79 453
0 80 831
0 81 971
0 82 225
0 83 759
0 84 439
0 85 621
0 86 778
0 87 236
0 88 678
0 89 492
0 90 655
0 91 352
0 92 394
0 93 315
0 94 617
0 95 334
0 96 979
0 97 859
0 98 93
0 99 887
1 2 647
1 3 632
1 4 243
1 5 288
1 6 250
1 7 494
1 8 370
1 9 577
1 10 712
1 11 94
1 12 692
1 13 222
1 14 687
1 15 735
1 16 794
1 17 345
1 18 681
1 19 685
1 20 465
1 21 81
1 22 195
1 23 182
1 24 387
1 25 96
1 26 713
1 27 537
1 28 516
1 29 192
1 30 827
1 31 541
1 32 792
1 33 197
1 34 60
1 35 723
1 36 608
1 37 418
1 38 682
1 39 26
1 40 289
1 41 742
1 42 124
1 43 777
1 44 255
1 45 437
1 46 554
1 47 264
1 48 783
1 49 944
1 50 563
1 51 514
1 52 418
1 53 267
1 54 752
1 55 602
1 56 230
1 57 909
1 58 416
1 59 341
1 60 581
1 61 590
1 62 292
1 63 751
1 64 857
1 65 168
1 66 942
1 67 324
1 68 575
1 69 500
1 70 383
1 71 649
1 72 149
1 73 571
1 74 115
1 75 837
1 76 337
1 77 154
1 78 371
1 79 45
1 80 456
1 81 684
1 82 604
1 83 447
1 84 109
1 85 746
1 86 595
1 87 533
1 88 274
1 89 286
1 90 639
1 91 720
1 92 173
1 93 587
1 94 241
1 95 157
1 96 701
1 97 660
1 98 325
1 99 949
2 3 610
2 4 719
2 5 545
2 6 856
2 7 158
2 8 523
2 9 674
2 10 73
2 11 655
2 12 405
2 13 866
2 14 133
2 15 88
2 16 358
2 17 379
2 18 110
2 19 160
2 20 632
2 21 639
2 22 793
2 23 750
2 24 328
2 25 594
2 26 537
2 27 111
2 28 568
2 29 646
2 30 256
2 31 180
2 32 146
