300 44850
0 1 131
0 2 305
0 3 348
0 4 58
0 5 108
0 6 335
0 7 355
0 8 76
0 9 126
0 10 342
0 11 365
0 12 33
0 13 154
0 14 313
0 15 354
0 16 82
0 17 46
0 18 317
0 19 371
0 20 74
0 21 115
0 22 322
0 23 390
0 24 108
0 25 90
0 26 327
0 27 333
0 28 65
0 29 106
0 30 279
0 31 338
0 32 87
0 33 105
0 34 337
0 35 337
0 36 94
0 37 100
0 38 329
0 39 397
0 40 92
0 41 158
0 42 301
0 43 368
0 44 122
0 45 97
0 46 300
0 47 321
0 48 87
0 49 98
0 50 334
0 51 385
0 52 69
0 53 179
0 54 329
0 55 339
0 56 80
0 57 79
0 58 342
0 59 323
0 60 86
0 61 159
0 62 303
0 63 399
0 64 69
0 65 118
0 66 346
0 67 401
0 68 48
0 69 82
0 70 337
0 71 367
0 72 69
0 73 140
0 74 319
0 75 330
0 76 105
0 77 93
0 78 281
0 79 319
0 80 71
0 81 92
0 82 317
0 83 359
0 84 62
0 85 64
0 86 320
0 87 369
0 88 61
0 89 118
0 90 349
0 91 329
0 92 54
0 93 107
0 94 325
0 95 346
0 96 111
0 97 163
0 98 345
0 99 371
0 100 87
0 101 82
0 102 296
0 103 321
0 104 28
0 105 121
0 106 349
0 107 364
0 108 67
0 109 94
0 110 284
0 111 383
0 112 87
0 113 122
0 114 303
0 115 339
0 116 47
0 117 88
0 118 309
0 119 371
0 120 76
0 121 119
0 122 310
0 123 320
0 124 68
0 125 141
0 126 333
0 127 387
0 128 116
0 129 80
0 130 315
0 131 340
0 132 40
0 133 91
0 134 343
0 135 323
0 136 62
0 137 84
0 138 320
0 139 353
0 140 78
0 141 99
0 142 349
0 143 341
0 144 68
0 145 96
0 146 334
0 147 342
0 148 130
0 149 125
0 150 258
0 151 397
0 152 91
0 153 106
0 154 291
0 155 356
0 156 118
0 157 107
0 158 345
0 159 342
0 160 113
0 161 167
0 162 333
0 163 343
0 164 132
0 165 92
0 166 335
0 167 419
0 168 56
0 169 91
0 170 318
0 171 343
0 172 47
0 173 157
0 174 300
0 175 349
0 176 50
0 177 92
0 178 322
0 179 412
0 180 79
0 181 92
0 182 347
0 183 426
0 184 88
0 185 141
0 186 346
0 187 382
0 188 83
0 189 95
0 190 336
0 191 338
0 192 64
0 193 139
0 194 322
0 195 380
0 196 37
0 197 102
0 198 350
0 199 282
0 200 62
0 201 54
0 202 340
0 203 306
0 204 76
0 205 81
0 206 318
0 207 337
0 208 86
0 209 108
0 210 320
0 211 389
0 212 89
0 213 56
0 214 270
0 215 447
0 216 40
0 217 89
0 218 323
0 219 402
0 220 45
0 221 91
0 222 361
0 223 312
0 224 118
0 225 112
0 226 376
0 227 405
0 228 75
0 229 173
0 230 323
0 231 323
0 232 117
0 233 96
0 234 319
0 235 377
0 236 48
0 237 87
0 238 323
0 239 304
0 240 83
0 241 63
0 242 371
0 243 335
0 244 45
0 245 114
0 246 342
0 247 390
0 248 39
0 249 86
0 250 326
0 251 402
0 252 55
0 253 92
0 254 311
0 255 429
0 256 73
0 257 98
0 258 315
0 259 342
0 260 85
0 261 68
0 262 320
0 263 380
0 264 88
0 265 128
0 266 349
0 267 339
0 268 120
0 269 74
0 270 281
0 271 358
0 272 23
0 273 71
0 274 363
0 275 372
0 276 108
0 277 66
0 278 329
0 279 422
0 280 58
0 281 138
0 282 315
0 283 377
0 284 100
0 285 68
0 286 300
0 287 353
0 288 145
0 289 112
0 290 290
0 291 377
0 292 77
0 293 106
0 294 348
0 295 397
0 296 86
0 297 62
0 298 326
0 299 345
1 2 422
1 3 348
1 4 154
1 5 66
1 6 455
1 7 358
1 8 206
1 9 17
1 10 458
1 11 367
1 12 128
1 13 62
1 14 425
1 15 350
1 16 213
1 17 103
1 18 434
1 19 372
1 20 200
1 21 20
1 22 437
1 23 370
1 24 206
1 25 51
1 26 438
1 27 327
1 28 194
1 29 83
1 30 399
1 31 321
1 32 204
1 33 43
1 34 451
1 35 311
1 36 226
1 37 81
1 38 443
1 39 379
1 40 211
1 41 34
1 42 413
1 43 354
1 44 252
1 45 41
1 46 414
1 47 306
1 48 168
1 49 36
1 50 456
1 51 372
1 52 195
1 53 49
1 54 438
1 55 351
1 56 210
1 57 54
1 58 461
1 59 308
1 60 180
1 61 68
1 62 423
1 63 369
1 64 164
1 65 75
1 66 455
1 67 392
1 68 179
1 69 49
1 70 456
1 71 351
1 72 191
1 73 42
1 74 438
1 75 326
1 76 203
1 77 46
1 78 397
1 79 300
1 80 199
1 81 45
1 82 426
1 83 359
1 84 163
1 85 71
1 86 427
1 87 377
1 88 176
1 89 16
1 90 461
1 91 333
1 92 124
1 93 45
1 94 434
1 95 346
1 96 243
1 97 32
1 98 465
1 99 361
1 100 191
1 101 58
1 102 411
1 103 314
1 104 154
1 105 18
1 106 459
1 107 356
1 108 178
1 109 38
1 110 396
1 111 353
1 112 204
1 113 37
1 114 420
1 115 315
1 116 177
1 117 73
1 118 433
1 119 362
1 120 207
1 121 80
1 122 431
1 123 316
1 124 186
1 125 34
1 126 446
1 127 383
1 128 241
1 129 60
1 130 433
1 131 335
1 132 140
1 133 41
1 134 467
1 135 328
1 136 172
1 137 61
1 138 433
1 139 365
1 140 207
1 141 58
1 142 463
1 143 325
1 144 176
1 145 36
1 146 456
1 147 317
1 148 250
1 149 36
1 150 374
1 151 384
1 152 213
1 153 26
1 154 409
1 155 344
1 156 210
1 157 47
1 158 461
1 159 323
1 160 235
1 161 39
1 162 450
1 163 326
1 164 234
1 165 63
1 166 444
1 167 407
1 168 173
1 169 40
1 170 437
1 171 340
1 172 178
1 173 30
1 174 417
1 175 323
1 176 158
1 177 52
1 178 442
1 179 402
1 180 200
1 181 50
1 182 462
1 183 406
1 184 188
1 185 48
1 186 459
1 187 375
1 188 187
1 189 38
1 190 445
1 191 336
1 192 173
1 193 25
1 194 439
1 195 371
1 196 168
1 197 32
1 198 463
1 199 270
1 200 168
1 201 78
1 202 458
1 203 298
1 204 186
1 205 52
1 206 432
1 207 341
1 208 190
1 209 26
1 210 438
1 211 363
1 212 179
1 213 75
1 214 378
1 215 415
1 216 170
1 217 43
1 218 429
1 219 407
1 220 158
1 221 44
1 222 476
1 223 291
1 224 212
1 225 36
1 226 491
1 227 392
1 228 197
1 229 43
1 230 429
1 231 325
1 232 239
1 233 84
1 234 439
1 235 371
1 236 171
1 237 49
1 238 436
1 239 302
1 240 189
1 241 68
1 242 469
1 243 329
1 244 157
1 245 29
1 246 454
1 247 384
1 248 170
1 249 67
1 250 447
1 251 378
1 252 146
1 253 44
1 254 426
1 255 418
1 256 203
1 257 74
1 258 434
1 259 318
1 260 203
1 261 88
1 262 431
1 263 382
1 264 189
1 265 25
1 266 464
1 267 355
1 268 248
1 269 63
1 270 401
1 271 363
1 272 153
1 273 62
1 274 479
1 275 357
1 276 226
1 277 69
1 278 448
1 279 394
1 280 189
1 281 45
1 282 427
1 283 368
1 284 215
1 285 64
1 286 409
1 287 351
1 288 274
1 289 26
1 290 414
1 291 358
1 292 191
1 293 30
1 294 466
1 295 393
1 296 208
1 297 75
1 298 452
1 299 323
2 3 375
2 4 268
2 5 369
2 6 33
2 7 372
2 8 235
2 9 411
2 10 39
2 11 379
2 12 296
2 13 457
2 14 30
2 15 386
2 16 231
2 17 319
2 18 13
2 19 387
2 20 230
2 21 403
2 22 22
2 23 438
2 24 219
2 25 372
2 26 46
2 27 379
2 28 270
2 29 355
2 30 29
2 31 403
2 32 220
2 33 383
2 34 41
2 35 420
2 36 229
2 37 353
2 38 32
2 39 439
2 40 214
2 41 438
2 42 33
2 43 416
2 44 196
2 45 397
2 46 24
2 47 391
2 48 258
2 49 395
2 50 43
2 51 422
2 52 236
2 53 464
2 54 51
2 55 345
2 56 232
2 57 370
2 58 39
2 59 391
2 60 243
2 61 463
2 62 14
2 63 464
2 64 259
2 65 422
2 66 64
2 67 421
2 68 268
2 69 376
2 70 34
2 71 416
2 72 236
2 73 411
2 74 16
2 75 373
2 76 221
2 77 394
2 78 26
2 79 397
2 80 235
2 81 377
2 82 51
2 83 378
2 84 259
2 85 353
2 86 62
2 87 370
2 88 248
2 89 406
2 90 54
2 91 356
2 92 299
2 93 382
2 94 53
2 95 374
2 96 218
2 97 454
2 98 43
2 99 407
2 100 231
2 101 364
2 102 18
2 103 375
2 104 277
2 105 418
2 106 60
2 107 399
2 108 245
2 109 390
2 110 41
2 111 453
2 112 220
2 113 397
2 114 7
2 115 418
2 116 273
2 117 353
2 118 42
2 119 406
2 120 240
2 121 366
2 122 28
2 123 369
2 124 239
2 125 417
2 126 39
2 127 405
2 128 188
2 129 362
2 130 10
2 131 382
2 132 283
2 133 382
2 134 59
2 135 351
2 136 251
2 137 363
2 138 32
2 139 351
2 140 229
2 141 370
2 142 49
2 143 403
2 144 247
2 145 387
2 146 40
2 147 421
2 148 174
2 149 400
2 150 49
2 151 429
2 152 214
2 153 402
2 154 13
2 155 404
2 156 218
2 157 382
2 158 41
2 159 409
2 160 191
2 161 462
2 162 30
2 163 406
2 164 190
2 165 362
2 166 56
2 167 440
2 168 252
2 169 386
2 170 17
2 171 379
2 172 266
2 173 452
2 174 9
2 175 427
2 176 265
2 177 371
2 178 23
2 179 431
2 180 226
2 181 373
2 182 45
2 183 462
2 184 235
2 185 409
2 186 49
2 187 409
2 188 236
2 189 384
2 190 58
2 191 373
2 192 250
2 193 419
2 194 19
2 195 412
2 196 276
2 197 390
2 198 53
2 199 367
2 200 255
2 201 355
2 202 35
2 203 371
2 204 237
2 205 372
2 206 28
2 207 361
2 208 232
2 209 396
2 210 15
2 211 451
2 212 245
2 213 353
2 214 64
2 215 501
2 216 266
2 217 381
2 218 64
2 219 392
2 220 267
2 221 378
2 222 57
2 223 396
2 224 214
2 225 413
2 226 72
2 227 433
2 228 230
2 229 457
2 230 69
2 231 358
2 232 188
2 233 348
2 234 23
2 235 402
2 236 257
2 237 373
2 238 32
2 239 360
2 240 234
2 241 360
2 242 119
2 243 381
2 244 267
2 245 413
2 246 47
2 247 409
2 248 268
2 249 357
2 250 34
2 251 455
2 252 276
2 253 378
2 254 17
2 255 443
2 256 234
2 257 357
2 258 12
2 259 418
2 260 221
2 261 335
2 262 40
2 263 388
2 264 234
2 265 409
2 266 46
2 267 336
2 268 190
2 269 376
2 270 27
2 271 371
2 272 281
2 273 371
2 274 60
2 275 418
2 276 198
2 277 354
2 278 25
2 279 476
2 280 260
2 281 407
2 282 31
2 283 409
2 284 208
2 285 366
2 286 47
2 287 381
2 288 171
2 289 398
2 290 49
2 291 428
2 292 232
2 293 404
2 294 44
2 295 411
2 296 219
2 297 348
2 298 63
2 299 417
3 4 296
3 5 289
3 6 401
3 7 12
3 8 356
3 9 332
3 10 386
3 11 20
3 12 315
3 13 410
3 14 353
3 15 12
3 16 361
3 17 311
3 18 376
3 19 24
3 20 333
3 21 334
3 22 371
3 23 64
3 24 272
3 25 318
3 26 350
3 27 24
3 28 387
3 29 275
3 30 374
3 31 48
3 32 313
3 33 314
3 34 370
3 35 71
3 36 378
3 37 280
3 38 369
3 39 65
3 40 316
3 41 332
3 42 344
3 43 42
3 44 371
3 45 362
3 46 351
3 47 52
3 48 267
3 49 353
3 50 417
3 51 48
3 52 335
3 53 352
3 54 346
3 55 32
3 56 358
3 57 332
3 58 404
3 59 49
3 60 279
3 61 416
3 62 386
3 63 92
3 64 287
3 65 410
3 66 354
3 67 55
3 68 365
3 69 340
3 70 401
3 71 44
3 72 323
3 73 307
3 74 388
3 75 22
3 76 274
3 77 364
3 78 356
3 79 62
3 80 342
3 81 325
3 82 337
3 83 11
3 84 296
3 85 327
3 86 328
3 87 33
3 88 312
3 89 338
3 90 371
3 91 21
3 92 295
3 93 310
3 94 341
3 95 2
3 96 385
3 97 362
3 98 407
3 99 33
3 100 289
3 101 318
3 102 356
3 103 35
3 104 335
3 105 360
3 106 362
3 107 25
3 108 305
3 109 348
3 110 334
3 111 83
3 112 310
3 113 311
3 114 368
3 115 67
3 116 370
3 117 295
3 118 413
3 119 32
3 120 365
3 121 272
3 122 401
3 123 32
3 124 314
3 125 316
3 126 365
3 127 39
3 128 335
3 129 317
3 130 380
3 131 18
3 132 309
3 133 336
3 134 433
3 135 27
3 136 305
3 137 312
3 138 357
3 139 35
3 140 346
3 141 303
3 142 381
3 143 44
3 144 300
3 145 337
3 146 413
3 147 68
3 148 319
3 149 312
3 150 340
3 151 56
3 152 323
3 153 351
3 154 366
3 155 33
3 156 261
3 157 308
3 158 390
3 159 52
3 160 323
3 161 374
3 162 383
3 163 47
3 164 275
3 165 302
3 166 348
3 167 74
3 168 316
3 169 344
3 170 390
3 171 12
3 172 360
3 173 369
3 174 365
3 175 70
3 176 308
3 177 314
3 178 397
3 179 66
3 180 321
3 181 318
3 182 384
3 183 90
3 184 283
3 185 302
3 186 374
3 187 38
3 188 290
3 189 332
3 190 347
3 191 12
3 192 303
3 193 325
3 194 379
3 195 38
3 196 360
3 197 332
3 198 375
3 199 79
3 200 301
3 201 349
3 202 396
3 203 51
3 204 300
3 205 332
3 206 360
3 207 14
3 208 290
3 209 334
3 210 383
3 211 78
3 212 273
3 213 341
3 214 311
3 215 127
3 216 347
3 217 337
3 218 328
3 219 59
3 220 315
3 221 327
3 222 396
3 223 69
3 224 264
3 225 372
3 226 405
3 227 62
3 228 322
3 229 346
3 230 324
3 231 25
3 232 325
3 233 281
3 234 397
3 235 31
3 236 327
3 237 326
3 238 361
3 239 46
3 240 292
3 241 343
3 242 321
3 243 22
3 244 314
3 245 366
3 246 368
3 247 42
3 248 351
3 249 302
3 250 409
3 251 80
3 252 295
3 253 326
3 254 364
3 255 82
3 256 347
3 257 287
3 258 385
3 259 64
3 260 314
3 261 300
3 262 349
3 263 34
3 264 285
3 265 323
3 266 386
3 267 43
3 268 355
3 269 361
3 270 375
3 271 17
3 272 344
3 273 351
3 274 397
3 275 44
3 276 313
3 277 326
3 278 392
3 279 102
3 280 368
3 281 304
3 282 354
3 283 35
3 284 306
3 285 346
3 286 331
3 287 7
3 288 370
3 289 329
3 290 407
3 291 55
3 292 307
3 293 358
3 294 402
3 295 49
3 296 324
3 297 321
3 298 436
3 299 59
4 5 106
4 6 300
4 7 303
4 8 74
4 9 144
4 10 304
4 11 312
4 12 31
4 13 193
4 14 272
4 15 303
4 16 82
4 17 51
4 18 279
4 19 319
4 20 57
4 21 135
4 22 283
4 23 342
4 24 55
4 25 104
4 26 285
4 27 283
4 28 94
4 29 95
4 30 245
4 31 290
4 32 52
4 33 116
