100 4950
0 1 67
0 2 192
0 3 291
0 4 380
0 5 483
0 6 595
0 7 673
0 8 786
0 9 901
0 10 112
0 11 129
0 12 214
0 13 320
0 14 395
0 15 489
0 16 600
0 17 696
0 18 776
0 19 891
0 20 186
0 21 232
0 22 270
0 23 360
0 24 444
0 25 516
0 26 629
0 27 721
0 28 820
0 29 917
0 30 311
0 31 303
0 32 358
0 33 407
0 34 483
0 35 571
0 36 654
0 37 767
0 38 847
0 39 959
0 40 389
0 41 416
0 42 428
0 43 491
0 44 557
0 45 644
0 46 716
0 47 805
0 48 872
0 49 978
0 50 499
0 51 543
0 52 542
0 53 582
0 54 643
0 55 698
0 56 776
0 57 834
0 58 924
0 59 1008
0 60 613
0 61 619
0 62 633
0 63 666
0 64 704
0 65 777
0 66 847
0 67 919
0 68 1004
0 69 1069
0 70 702
0 71 694
0 72 723
0 73 753
0 74 801
0 75 851
0 76 916
0 77 984
0 78 1054
0 79 1126
0 80 813
0 81 819
0 82 817
0 83 845
0 84 895
0 85 937
0 86 985
0 87 1056
0 88 1135
0 89 1171
0 90 879
0 91 893
0 92 903
0 93 948
0 94 991
0 95 1022
0 96 1081
0 97 1133
0 98 1197
0 99 1259
1 2 125
1 3 224
1 4 313
1 5 416
1 6 528
1 7 606
1 8 719
1 9 834
1 10 151
1 11 116
1 12 168
1 13 260
1 14 332
1 15 425
1 16 535
1 17 631
1 18 711
1 19 826
1 20 211
1 21 220
1 22 235
1 23 312
1 24 389
1 25 458
1 26 569
1 27 659
1 28 757
1 29 853
1 30 329
1 31 303
1 32 335
1 33 373
1 34 437
1 35 518
1 36 599
1 37 710
1 38 787
1 39 899
1 40 406
1 41 412
1 42 411
1 43 459
1 44 518
1 45 599
1 46 666
1 47 753
1 48 816
1 49 921
1 50 511
1 51 543
1 52 529
1 53 557
1 54 610
1 55 657
1 56 732
1 57 784
1 58 872
1 59 954
1 60 625
1 61 622
1 62 621
1 63 648
1 64 677
1 65 743
1 66 806
1 67 875
1 68 957
1 69 1018
1 70 714
1 71 695
1 72 715
1 73 736
1 74 777
1 75 821
1 76 880
1 77 944
1 78 1009
1 79 1080
1 80 824
1 81 821
1 82 810
1 83 831
1 84 875
1 85 911
1 86 952
1 87 1018
1 88 1094
1 89 1127
1 90 890
1 91 896
1 92 900
1 93 937
1 94 973
1 95 999
1 96 1051
1 97 1099
1 98 1160
1 99 1218
2 3 99
2 4 188
2 5 292
2 6 404
2 7 482
2 8 594
2 9 710
2 10 246
2 11 160
2 12 115
2 13 148
2 14 211
2 15 302
2 16 411
2 17 507
2 18 587
2 19 701
2 20 279
2 21 228
2 22 191
2 23 227
2 24 284
2 25 344
2 26 451
2 27 538
2 28 635
2 29 731
2 30 371
2 31 320
2 32 303
2 33 313
2 34 349
2 35 413
2 36 492
2 37 595
2 38 669
2 39 780
2 40 441
2 41 411
2 42 386
2 43 401
2 44 441
2 45 508
2 46 566
2 47 646
2 48 704
2 49 807
2 50 535
2 51 543
2 52 503
2 53 507
2 54 545
2 55 574
2 56 641
2 57 682
2 58 766
2 59 845
2 60 642
2 61 622
2 62 596
2 63 608
2 64 619
2 65 669
2 66 722
2 67 784
2 68 858
2 69 914
2 70 730
2 71 693
2 72 693
2 73 699
2 74 726
2 75 757
2 76 802
2 77 859
2 78 916
2 79 984
2 80 834
2 81 815
2 82 788
2 83 797
2 84 828
2 85 852
2 86 881
2 87 937
2 88 1006
2 89 1034
2 90 900
2 91 891
2 92 883
2 93 906
2 94 928
2 95 945
2 96 983
2 97 1025
2 98 1078
2 99 1130
3 4 89
3 5 193
3 6 305
3 7 383
3 8 495
3 9 610
3 10 338
3 11 243
3 12 158
3 13 96
3 14 124
3 15 209
3 16 315
3 17 410
3 18 489
3 19 603
3 20 360
3 21 283
3 22 216
3 23 199
3 24 222
3 25 266
3 26 365
3 27 447
3 28 541
3 29 636
3 30 434
3 31 370
3 32 319
3 33 303
3 34 305
3 35 346
3 36 419
3 37 511
3 38 580
3 39 690
3 40 496
3 41 443
3 42 400
3 43 386
3 44 404
3 45 454
3 46 500
3 47 572
3 48 622
3 49 722
3 50 578
3 51 569
3 52 512
3 53 494
3 54 515
3 55 526
3 56 584
3 57 613
3 58 691
3 59 766
3 60 679
3 61 646
3 62 602
3 63 600
3 64 594
3 65 629
3 66 671
3 67 724
3 68 791
3 69 841
3 70 763
3 71 713
3 72 699
3 73 691
3 74 705
3 75 724
3 76 756
3 77 805
3 78 853
3 79 918
3 80 862
3 81 831
3 82 791
3 83 791
3 84 809
3 85 822
3 86 840
3 87 886
3 88 948
3 89 972
3 90 926
3 91 906
3 92 890
3 93 900
3 94 910
3 95 919
3 96 943
3 97 979
3 98 1025
3 99 1072
4 5 104
4 6 215
4 7 294
4 8 406
4 9 522
4 10 425
4 11 328
4 12 232
4 13 125
4 14 84
4 15 136
4 16 233
4 17 325
4 18 404
4 19 517
4 20 441
4 21 353
4 22 274
4 23 220
4 24 201
4 25 217
4 26 299
4 27 372
4 28 462
4 29 554
4 30 504
4 31 434
4 32 362
4 33 327
4 34 297
4 35 306
4 36 369
4 37 446
4 38 507
4 39 614
4 40 560
4 41 492
4 42 438
4 43 399
4 44 396
4 45 425
4 46 457
4 47 518
4 48 558
4 49 653
4 50 633
4 51 611
4 52 541
4 53 506
4 54 511
4 55 502
4 56 549
4 57 564
4 58 635
4 59 703
4 60 727
4 61 685
4 62 626
4 63 613
4 64 593
4 65 611
4 66 640
4 67 683
4 68 741
4 69 784
4 70 808
4 71 748
4 72 721
4 73 702
4 74 704
4 75 711
4 76 730
4 77 769
4 78 808
4 79 869
4 80 902
4 81 860
4 82 810
4 83 801
4 84 808
4 85 811
4 86 817
4 87 853
4 88 908
4 89 926
4 90 964
4 91 935
4 92 911
4 93 910
4 94 909
4 95 910
4 96 922
4 97 951
4 98 990
4 99 1030
5 6 112
5 7 190
5 8 302
5 9 418
5 10 528
5 11 429
5 12 328
5 13 208
5 14 133
5 15 97
5 16 148
5 17 231
5 18 307
5 19 418
5 20 539
5 21 444
5 22 358
5 23 281
5 24 224
5 25 199
5 26 241
5 27 294
5 28 375
5 29 463
5 30 593
5 31 519
5 32 431
5 33 381
5 34 320
5 35 290
5 36 333
5 37 382
5 38 430
5 39 532
5 40 643
5 41 563
5 42 499
5 43 438
5 44 413
5 45 415
5 46 426
5 47 468
5 48 494
5 49 581
5 50 707
5 51 672
5 52 591
5 53 538
5 54 525
5 55 494
5 56 526
5 57 521
5 58 579
5 59 639
5 60 793
5 61 742
5 62 669
5 63 645
5 64 608
5 65 607
5 66 619
5 67 649
5 68 694
5 69 727
5 70 870
5 71 800
5 72 761
5 73 729
5 74 717
5 75 710
5 76 712
5 77 740
5 78 765
5 79 822
5 80 957
5 81 905
5 82 845
5 83 826
5 84 820
5 85 811
5 86 804
5 87 826
5 88 870
5 89 882
5 90 1017
5 91 978
5 92 946
5 93 933
5 94 919
5 95 912
5 96 908
5 97 929
5 98 958
5 99 989
6 7 79
6 8 191
6 9 306
6 10 637
6 11 536
6 12 433
6 13 308
6 14 226
6 15 148
6 16 96
6 17 138
6 18 206
6 19 312
6 20 644
6 21 542
6 22 453
6 23 363
6 24 284
6 25 227
6 26 211
6 27 226
6 28 286
6 29 367
6 30 688
6 31 611
6 32 512
6 33 451
6 34 368
6 35 303
6 36 317
6 37 327
6 38 354
6 39 446
6 40 732
6 41 642
6 42 572
6 43 493
6 44 447
6 45 422
6 46 408
6 47 427
6 48 433
6 49 506
6 50 786
6 51 741
6 52 650
6 53 583
6 54 552
6 55 500
6 56 512
6 57 485
6 58 527
6 59 573
6 60 864
6 61 806
6 62 720
6 63 685
6 64 633
6 65 612
6 66 606
6 67 620
6 68 648
6 69 668
6 70 936
6 71 857
6 72 807
6 73 763
6 74 738
6 75 716
6 76 700
6 77 714
6 78 724
6 79 773
6 80 1016
6 81 955
6 82 885
6 83 857
6 84 837
6 85 815
6 86 793
6 87 800
6 88 832
6 89 836
6 90 1073
6 91 1024
6 92 985
6 93 959
6 94 933
6 95 916
6 96 895
6 97 907
6 98 925
6 99 946
7 8 112
7 9 228
7 10 712
7 11 611
7 12 506
7 13 380
7 14 297
7 15 210
7 16 118
7 17 92
7 18 139
7 19 236
7 20 716
7 21 612
7 22 521
7 23 425
7 24 338
7 25 268
7 26 216
7 27 194
7 28 230
7 29 300
7 30 754
7 31 676
7 32 571
7 33 505
7 34 411
7 35 328
7 36 322
7 37 300
7 38 307
7 39 387
7 40 795
7 41 698
7 42 625
7 43 536
7 44 479
7 45 437
7 46 407
7 47 406
7 48 396
7 49 457
7 50 842
7 51 790
7 52 694
7 53 618
7 54 577
7 55 511
7 56 510
7 57 467
7 58 494
7 59 530
7 60 914
7 61 851
7 62 758
7 63 716
7 64 654
7 65 620
7 66 601
7 67 603
7 68 619
7 69 629
7 70 982
7 71 898
7 72 840
7 73 789
7 74 755
7 75 723
7 76 694
7 77 698
7 78 696
7 79 739
7 80 1057
7 81 990
7 82 913
7 83 879
7 84 851
7 85 820
7 86 788
7 87 783
7 88 807
7 89 804
7 90 1112
7 91 1056
7 92 1012
7 93 978
7 94 943
7 95 920
7 96 887
7 97 892
7 98 902
7 99 916
8 9 115
8 10 824
8 11 722
8 12 616
8 13 490
8 14 406
8 15 316
8 16 211
8 17 132
8 18 101
8 19 145
8 20 825
8 21 718
8 22 627
8 23 527
8 24 434
8 25 358
8 26 277
8 27 214
8 28 195
8 29 231
8 30 858
8 31 779
8 32 669
8 33 598
8 34 497
8 35 400
8 36 372
8 37 309
8 38 281
8 39 332
8 40 895
8 41 793
8 42 717
8 43 620
8 44 552
8 45 493
8 46 443
8 47 416
8 48 380
8 49 415
8 50 935
8 51 876
8 52 776
8 53 691
8 54 639
8 55 558
8 56 540
8 57 476
8 58 481
8 59 497
8 60 1001
8 61 933
8 62 832
8 63 783
8 64 711
8 65 661
8 66 625
8 67 610
8 68 606
8 69 599
8 70 1064
8 71 975
8 72 909
8 73 849
8 74 804
8 75 760
8 76 715
8 77 704
8 78 685
8 79 718
8 80 1132
8 81 1058
8 82 975
8 83 934
8 84 894
8 85 852
8 86 807
8 87 787
8 88 796
8 89 784
8 90 1184
8 91 1122
8 92 1071
8 93 1028
8 94 981
8 95 949
8 96 902
8 97 896
8 98 894
8 99 896
9 10 938
9 11 836
9 12 729
9 13 603
9 14 520
9 15 427
9 16 319
9 17 228
9 18 163
9 19 105
9 20 938
9 21 829
9 22 737
9 23 634
9 24 539
9 25 459
9 26 365
9 27 281
9 28 219
9 29 201
9 30 966
9 31 885
9 32 772
9 33 699
9 34 593
9 35 488
9 36 445
9 37 354
9 38 296
9 39 305
9 40 999
9 41 893
9 42 815
9 43 712
9 44 637
9 45 565
9 46 502
9 47 453
9 48 395
9 49 398
9 50 1033
9 51 969
9 52 865
9 53 774
9 54 713
9 55 622
9 56 589
9 57 509
9 58 491
9 59 484
9 60 1093
9 61 1021
9 62 914
9 63 859
9 64 780
9 65 716
9 66 666
9 67 635
9 68 612
9 69 587
9 70 1151
9 71 1058
9 72 985
9 73 918
9 74 865
9 75 810
9 76 750
9 77 725
9 78 689
9 79 710
9 80 1214
9 81 1134
9 82 1045
9 83 997
9 84 948
9 85 896
9 86 839
9 87 803
9 88 798
9 89 777
9 90 1262
9 91 1194
9 92 1138
9 93 1086
9 94 1029
9 95 990
9 96 927
9 97 912
9 98 898
9 99 887
10 11 102
10 12 212
10 13 336
10 14 419
10 15 513
10 16 625
10 17 722
10 18 801
10 19 916
10 20 79
10 21 165
10 22 236
10 23 342
10 24 438
10 25 518
10 26 634
10 27 730
10 28 831
10 29 929
10 30 203
10 31 211
10 32 295
10 33 360
10 34 454
10 35 556
10 36 639
10 37 762
10 38 848
10 39 960
10 40 281
10 41 324
10 42 352
10 43 434
10 44 513
