300 44850
0 1 67
0 2 630
0 3 443
0 4 678
0 5 125
0 6 533
0 7 35
0 8 635
0 9 772
0 10 626
0 11 721
0 12 762
0 13 546
0 14 713
0 15 98
0 16 428
0 17 123
0 18 623
0 19 46
0 20 597
0 21 64
0 22 591
0 23 608
0 24 130
0 25 348
0 26 594
0 27 162
0 28 83
0 29 568
0 30 666
0 31 448
0 32 721
0 33 268
0 34 538
0 35 640
0 36 838
0 37 296
0 38 301
0 39 552
0 40 667
0 41 486
0 42 520
0 43 690
0 44 699
0 45 696
0 46 786
0 47 708
0 48 529
0 49 631
0 50 811
0 51 457
0 52 647
0 53 692
0 54 414
0 55 719
0 56 734
0 57 499
0 58 741
0 59 649
0 60 293
0 61 355
0 62 729
0 63 256
0 64 83
0 65 775
0 66 820
0 67 141
0 68 832
0 69 391
0 70 122
0 71 124
0 72 49
0 73 745
0 74 165
0 75 560
0 76 224
0 77 305
0 78 670
0 79 588
0 80 262
0 81 288
0 82 608
0 83 493
0 84 385
0 85 697
0 86 420
0 87 420
0 88 393
0 89 627
0 90 661
0 91 527
0 92 131
0 93 442
0 94 128
0 95 528
0 96 78
0 97 31
0 98 69
0 99 63
0 100 565
0 101 549
0 102 426
0 103 762
0 104 622
0 105 774
0 106 693
0 107 356
0 108 740
0 109 718
0 110 254
0 111 479
0 112 776
0 113 358
0 114 695
0 115 761
0 116 780
0 117 319
0 118 80
0 119 784
0 120 807
0 121 280
0 122 790
0 123 793
0 124 696
0 125 261
0 126 195
0 127 36
0 128 525
0 129 235
0 130 781
0 131 114
0 132 475
0 133 678
0 134 176
0 135 600
0 136 829
0 137 462
0 138 148
0 139 720
0 140 272
0 141 820
0 142 831
0 143 818
0 144 35
0 145 532
0 146 466
0 147 750
0 148 421
0 149 675
0 150 437
0 151 526
0 152 176
0 153 580
0 154 171
0 155 492
0 156 200
0 157 515
0 158 214
0 159 60
0 160 797
0 161 563
0 162 633
0 163 245
0 164 668
0 165 738
0 166 735
0 167 788
0 168 650
0 169 19
0 170 372
0 171 647
0 172 150
0 173 588
0 174 376
0 175 451
0 176 122
0 177 762
0 178 138
0 179 655
0 180 45
0 181 94
0 182 647
0 183 671
0 184 345
0 185 745
0 186 46
0 187 774
0 188 17
0 189 654
0 190 843
0 191 616
0 192 365
0 193 775
0 194 397
0 195 353
0 196 283
0 197 605
0 198 269
0 199 491
0 200 761
0 201 188
0 202 770
0 203 442
0 204 644
0 205 294
0 206 58
0 207 726
0 208 765
0 209 288
0 210 55
0 211 708
0 212 495
0 213 278
0 214 644
0 215 614
0 216 516
0 217 801
0 218 666
0 219 64
0 220 29
0 221 574
0 222 71
0 223 764
0 224 522
0 225 795
0 226 740
0 227 189
0 228 32
0 229 554
0 230 141
0 231 755
0 232 699
0 233 471
0 234 58
0 235 767
0 236 278
0 237 99
0 238 715
0 239 783
0 240 223
0 241 597
0 242 737
0 243 446
0 244 76
0 245 792
0 246 729
0 247 728
0 248 194
0 249 267
0 250 806
0 251 209
0 252 238
0 253 264
0 254 743
0 255 335
0 256 207
0 257 87
0 258 751
0 259 689
0 260 711
0 261 564
0 262 406
0 263 406
0 264 796
0 265 169
0 266 747
0 267 484
0 268 685
0 269 630
0 270 383
0 271 638
0 272 538
0 273 493
0 274 773
0 275 570
0 276 655
0 277 759
0 278 736
0 279 796
0 280 659
0 281 231
0 282 561
0 283 36
0 284 751
0 285 77
0 286 42
0 287 687
0 288 114
0 289 756
0 290 340
0 291 647
0 292 274
0 293 805
0 294 396
0 295 106
0 296 600
0 297 687
0 298 531
0 299 519
1 2 623
1 3 509
1 4 676
1 5 84
1 6 505
1 7 34
1 8 694
1 9 803
1 10 611
1 11 731
1 12 768
1 13 609
1 14 764
1 15 53
1 16 393
1 17 95
1 18 610
1 19 107
1 20 659
1 21 120
1 22 654
1 23 583
1 24 63
1 25 308
1 26 655
1 27 224
1 28 149
1 29 538
1 30 725
1 31 414
1 32 708
1 33 334
1 34 521
1 35 626
1 36 866
1 37 245
1 38 257
1 39 535
1 40 723
1 41 464
1 42 484
1 43 678
1 44 741
1 45 690
1 46 806
1 47 710
1 48 500
1 49 689
1 50 853
1 51 522
1 52 704
1 53 677
1 54 480
1 55 772
1 56 740
1 57 471
1 58 734
1 59 709
1 60 360
1 61 318
1 62 771
1 63 323
1 64 142
1 65 825
1 66 838
1 67 108
1 68 864
1 69 357
1 70 181
1 71 188
1 72 115
1 73 790
1 74 126
1 75 624
1 76 291
1 77 371
1 78 668
1 79 562
1 80 222
1 81 355
1 82 583
1 83 558
1 84 452
1 85 698
1 86 379
1 87 487
1 88 348
1 89 608
1 90 713
1 91 508
1 92 193
1 93 404
1 94 74
1 95 501
1 96 118
1 97 40
1 98 24
1 99 37
1 100 627
1 101 611
1 102 397
1 103 765
1 104 677
1 105 807
1 106 748
1 107 309
1 108 783
1 109 726
1 110 320
1 111 442
1 112 805
1 113 424
1 114 703
1 115 772
1 116 818
1 117 386
1 118 56
1 119 813
1 120 823
1 121 347
1 122 814
1 123 820
1 124 743
1 125 327
1 126 141
1 127 76
1 128 585
1 129 184
1 130 825
1 131 181
1 132 454
1 133 728
1 134 125
1 135 583
1 136 863
1 137 527
1 138 99
1 139 772
1 140 222
1 141 847
1 142 869
1 143 837
1 144 88
1 145 502
1 146 530
1 147 758
1 148 488
1 149 732
1 150 503
1 151 499
1 152 242
1 153 641
1 154 131
1 155 557
1 156 140
1 157 579
1 158 278
1 159 84
1 160 821
1 161 625
1 162 616
1 163 310
1 164 723
1 165 791
1 166 777
1 167 828
1 168 644
1 169 79
1 170 333
1 171 702
1 172 215
1 173 560
1 174 345
1 175 516
1 176 74
1 177 771
1 178 200
1 179 711
1 180 110
